Gender,Event,Location,Year,Medal,Name,Nationality,Time,Medal_S,Name_S,Nationality_S,Result_S,Medal_B,Name_B,Nationality_B,Result_B,Distance
M,400M Men,Antwerp,1920,G,Bevil RUDD,RSA,49.6,S,Guy BUTLER,GBR,49.9,B,Nils ENGDAHL,SWE,50.0,400
M,400M Men,London,1908,G,Wyndham HALSWELLE,GBR,50.0,S,Unknown,None,None,B,Unknown,None,None,400
M,400M Men,Paris,1900,G,Maxwell Warburn LONG,USA,49.4,S,William HOLLAND,USA,49.6,B,Ernst SCHULTZ,DEN,51.5,400
M,400M Men,London,2012,G,Kirani JAMES,GRN,43.94,S,Luguelin SANTOS,DOM,44.46,B,Lalonde GORDON,TTO,44.52,400
M,400M Men,Athens,2004,G,Jeremy WARINER,USA,44.0,S,Otis HARRIS,USA,44.16,B,Derrick BREW,USA,44.42,400
M,400M Men,Atlanta,1996,G,Michael JOHNSON,USA,43.49,S,Roger BLACK,GBR,44.41,B,Davis KAMOGA,UGA,44.53,400
M,400M Men,Moscow,1980,G,Viktor MARKIN,URS,44.6,S,Rick MITCHELL,AUS,44.84,B,Frank SCHAFFER,GDR,44.87,400
M,400M Men,Munich,1972,G,Vince MATTHEWS,USA,44.66,S,Wayne COLLETT,USA,44.8,B,Julius SANG,KEN,44.92,400
M,400M Men,Tokyo,1964,G,Mike LARRABEE,USA,45.1,S,Wendell MOTTLEY,TTO,45.2,B,Andrzej BADENSKI,POL,45.6,400
M,400M Men,Melbourne / Stockholm,1956,G,Charles JENKINS,USA,46.7,S,Karl-Friedrich HAAS,EUA,46.8,B,Ardalion IGNATYEV,URS,47.0,400
M,400M Men,London,1948,G,Arthur WINT,JAM,46.2,S,Herbert MCKENLEY,JAM,46.4,B,Mal WHITFIELD,USA,46.9,400
M,400M Men,Los Angeles,1932,G,William Arthur CARR,USA,46.2,S,Benjamin Bangs EASTMAN,USA,46.4,B,Alex WILSON,CAN,47.4,400
M,400M Men,Paris,1924,G,Eric LIDDELL,GBR,47.6,S,Horatio FITCH,USA,48.4,B,Guy BUTLER,GBR,48.6,400
M,400M Men,Stockholm,1912,G,Charles REIDPATH,USA,48.2,S,Hanns BRAUN,GER,48.3,B,Edward LINDBERG,USA,48.4,400
M,400M Men,St Louis,1904,G,Harry HILLMAN,USA,49.2,S,Frank WALLER,USA,49.9,B,Herman GROMAN,USA,50.0,400
M,400M Men,Athens,1896,G,Thomas BURKE,USA,54.2,S,Herbert JAMISON,USA,55.2,B,Charles GMELIN,GBR,55.6,400
